"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"Topbuild Corp","BLD","73.78","74.43","73.00","+0.50","+0.68%","185.76K","16:00:00"
"Tredegar","TG","21.35","22.75","21.10","-1.50","-6.56%","213.74K","16:00:00"
"Trex","TREX","79.32","79.43","77.00","+1.90","+2.45%","246.11K","16:00:00"
"TrueBlue","TBI","28.70","29.00","28.55","0.00","0.00%","162.77K","16:00:00"
"TrustCo Bank NY","TRST","9.30","9.30","9.20","+0.10","+1.09%","357.09K","16:00:01"
"TTEC","TTEC","25.80","26.30","25.40","0.00","0.00%","46.14K","16:00:01"
"TTM","TTMI","18.10","18.49","18.08","-0.16","-0.88%","545.36K","16:00:02"
"Tuesday Morning","TUES","3.00","3.05","2.85","+0.15","+5.26%","312.60K","16:00:01"
"U S Concrete","USCR","51.50","51.80","51.13","+0.20","+0.39%","247.17K","16:00:02"
"UMB Financial","UMBF","74.92","75.44","74.60","+0.39","+0.52%","206.36K","16:00:02"
"Unifi","UFI","32.04","32.59","31.89","+0.10","+0.31%","51.24K","16:00:00"
"Unifirst","UNF","184.60","185.23","183.00","+2.35","+1.29%","49.78K","16:00:00"
"Unit","UNT","26.060","26.255","25.520","+0.700","+2.76%","200.03K","16:00:00"
"United Bankshares","UBSI","38.95","39.25","38.30","+0.50","+1.30%","250.99K","16:00:02"
"United Community Banks","UCBI","31.08","31.36","30.75","+0.42","+1.37%","282.43K","16:00:02"
"United Fire","UFCS","51.18","51.96","51.08","+0.23","+0.45%","108.66K","16:00:01"
"United Insurances","UIHC","21.180","21.440","21.020","+0.110","+0.52%","62.24K","16:00:02"
"Universal","UVV","58.85","59.55","58.35","-0.50","-0.84%","155.35K","16:00:00"
"Universal Electronics","UEIC","43.00","43.60","42.68","+0.30","+0.70%","67.12K","16:00:01"
"Universal Forest","UFPI","36.91","37.07","36.59","+0.34","+0.93%","213.42K","16:00:02"
"Universal Health RI","UHT","72.61","72.62","71.08","+0.63","+0.88%","22.27K","16:00:00"
"Universal Insurance","UVE","45.15","45.45","45.05","-0.15","-0.33%","169.41K","16:00:00"
"Urstadt Biddle Properties","UBA","22.60","22.61","22.33","+0.18","+0.80%","27.54K","16:00:00"
"US Ecology","ECOL","71.00","71.05","69.85","+0.55","+0.78%","39.35K","16:00:01"
"US Physicalrapy","USPH","113.45","115.00","113.20","-0.05","-0.04%","55.23K","16:00:00"
"US Silica","SLCA","22.860","22.878","22.250","+0.420","+1.87%","1.33M","16:00:00"
"Veeco","VECO","11.10","11.15","10.70","+0.50","+4.72%","866.61K","16:00:02"
"Vera Bradley","VRA","13.94","14.16","13.89","-0.21","-1.48%","168.83K","16:00:02"
"Veritiv Cor","VRTV","47.85","49.25","47.40","-1.00","-2.05%","107.07K","16:00:00"
"Viad","VVI","60.50","61.30","60.30","+0.35","+0.58%","35.68K","16:00:00"
"Viavi Solutions","VIAV","10.99","11.12","10.55","+0.53","+5.07%","3.37M","16:00:02"
"Vicor","VICR","60.65","61.50","59.35","+0.30","+0.50%","281.87K","16:00:02"
"Virtus","VRTS","130.90","132.20","129.80","+1.35","+1.04%","31.56K","16:00:02"
"Virtusa","VRTU","51.81","52.31","51.66","-0.17","-0.33%","88.72K","16:00:02"
"Vitamin Shoppe","VSI","12.43","13.50","12.15","-0.53","-4.05%","1.25M","16:00:00"
"Wabash National","WNC","18.56","18.57","18.23","+0.49","+2.71%","686.68K","16:00:00"
"WageWorks","WAGE","52.100","52.650","51.550","+0.350","+0.68%","151.24K","16:00:00"
"Walker&Dunlop","WD","53.94","54.34","53.43","+0.30","+0.56%","259.81K","16:00:00"
"Watts Water Technologies","WTS","82.40","83.15","82.15","+0.50","+0.61%","81.49K","16:00:00"
"WD-40","WDFC","168.75","169.55","166.58","+2.65","+1.60%","37.49K","16:00:02"
"Westamerica Bancorporation","WABC","62.95","63.38","62.45","+0.80","+1.29%","131.74K","16:00:02"
"Winnebago Industries","WGO","38.95","39.05","38.25","+0.95","+2.50%","283.67K","16:00:00"
"Wintrust","WTFC","90.36","90.93","88.81","+1.47","+1.65%","121.31K","16:00:02"
"Wolverine","WWW","37.77","38.22","37.73","-0.14","-0.37%","352.92K","16:00:00"
"World Acceptance","WRLD","115.16","117.15","114.05","+0.30","+0.26%","117.82K","16:00:01"
"WWE","WWE","79.01","79.41","77.70","+1.19","+1.53%","538.54K","16:00:00"
"XO","XOXO","29.580","30.165","29.500","-0.060","-0.20%","151.51K","16:00:00"
"Xperi","XPER","16.45","16.65","16.20","+0.05","+0.30%","418.69K","16:00:01"
"Zumiez","ZUMZ","28.70","29.05","28.00","+0.30","+1.06%","345.23K","16:00:02"
