Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
OSIS,"O S I Systems Inc",77.27,"24% Buy",49.16%,18.61%,141070,50.5,96.64
OSPN,"Onespan Inc.",18.45,Hold,49.93%,20.66%,163975,11.05,25.45
OSUR,"Orasure Tech Inc",16.24,"88% Sell",43.57%,15.20%,384975,12.86,23.01
OXM,"Oxford Industries",93.55,"24% Buy",54.80%,18.84%,86550,57.54,97.19
PAHC,"Phibro Anl Htlh A",47,"24% Sell",44.53%,43.09%,153930,32.05,54.62
PARR,"Par Petroleum Corp",17.94,"32% Buy",56.08%,17.50%,172320,16.42,21.94
PATK,"Patrick Inds Inc",63.85,"88% Buy",55.35%,31.19%,153300,47.27,72.35
PDCE,"Pdc Energy Inc",54.78,"16% Sell",45.27%,54.87%,1067015,37.15,66.2
PDFS,"Pdf Solutions Inc",8.51,"100% Sell",30.73%,70.76%,292250,8.41,18.48
PEI,"Pennsylvania Real Estate Investment",10.44,"40% Sell",47.75%,32.57%,906055,8.86,12.52
PENN,"Penn Natl Gaming Inc",34.97,"64% Buy",60.12%,23.06%,1089555,20.76,36.9
