Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
CHUY,"Chuy's Holdings Inc",27.55,"48% Sell",38.62%,62.78%,157235,18,34.1
CIR,"Circor International",44.5,"56% Buy",55.29%,23.40%,114620,35.16,56.37
CJ,"C&J Energy Services Inc",23.6,Hold,49.62%,44.45%,610770,21.22,36.57
CKH,"Seacor Smit Inc",51.68,"40% Sell",46.49%,22.56%,94350,36.48,59
CLD,"Cloud Peak Energy Inc",2.49,"40% Sell",39.82%,47.13%,507735,2.22,5.7
CLDT,"Chatham Lodging Trust [Reit]",21.74,"72% Buy",55.98%,14.87%,242115,17.9,23.91
CLW,"Clearwater Paper Corp",28.95,"72% Buy",60.19%,64.81%,228030,21.55,50.6
CMO,"Capstead Mortgage Corp",8.37,"40% Sell",43.02%,9.04%,620940,8.01,9.89
CMTL,"Comtech Telecom Co",35.9,"88% Buy",61.98%,17.11%,85575,17.11,36.8
CNMD,"C O N M E D Cp",77.99,"64% Buy",57.88%,25.57%,141040,48.03,83.49
CNSL,"Consolidated Communications Holdings Inc",12.22,"16% Buy",52.30%,47.54%,668755,10.31,20.72
COHU,"Cohu Inc",26.83,"72% Buy",56.58%,31.91%,212170,17.4,27.83
COKE,"Coca Cola Bot Cons",165.1,"56% Buy",61.19%,36.29%,79895,125.08,230
COLB,"Columbia Banking Sys",41.81,"32% Sell",47.80%,17.52%,188945,35.67,48.06
CORE,"Core Mark Holding",34.47,"88% Buy",78.22%,47.49%,498690,17.1,35.89
CORT,"Corcept Therapeutics",13.79,"16% Sell",48.57%,43.65%,1581945,11.55,25.96
CPF,"Central Pacific Financial Co",28.44,"48% Sell",47.15%,14.61%,117665,27.19,33.15
CPS,"Cooper Std Hldg Inc",142.83,"96% Buy",58.34%,28.59%,135350,98.58,146.77
CPSI,"Computer Programs",27,"72% Sell",33.11%,57.07%,188040,25.15,34.65
CRAY,"Cray Inc",21.55,"64% Sell",40.18%,30.34%,323670,17.6,28.6
CROX,"Crocs Inc",20.42,"96% Buy",62.55%,38.02%,1123030,8.64,20.86
CRR,"Carbo Ceramics",8.71,"16% Sell",48.61%,48.05%,264320,6.1,12.69
CRVL,"Corvel Cp",60.3,"96% Buy",63.58%,23.61%,27260,46.45,61.2
CRY,Cryolife,33.8,"96% Buy",63.72%,42.12%,179980,16.8,35.05
CRZO,"Carrizo Oil & Gas",23.29,"48% Sell",39.60%,49.02%,2899475,11.1,31.57
CSGS,"C S G Sys Intl",36.93,"72% Sell",34.80%,22.63%,165200,36.38,48.82
